V.A.0000.000.45
/**Base atpInterfaceTable Number, 468 **/
0x001e , // zcType default
0x0001 , // zcIndex [10进制表示为: 1]
0x003c , // ciType default
0x0001 , // ciIndex [10进制表示为: 1]

序号 , 设备名称 , 设备类型 , 设备ID , ZC侧ID , 码位值0 , P1801 , DBJ , 0 ,1 ,1
270 , T1806C , DGJ-CT-NERCV , 9 ,35 ,165
271 , T1806C , DGJ-UT-NERCV , 9 ,35 ,166
272 , T1807A , DGJ-CT-NERCV , 10 ,6 ,111
273 , T1807A , DGJ-UT-NERCV , 10 ,6 ,112
274 , T1807B , DGJ-CT-NERCV , 11 ,7 ,113
275 , T1807B , DGJ-UT-NERCV , 11 ,7 ,114
276 , T1807C , DGJ-CT-NERCV , 12 ,8 ,115
277 , T1807C , DGJ-UT-NERCV , 12 ,8 ,116
278 , T1808A , DGJ-CT-NERCV , 13 ,36 ,167
279 , T1808A , DGJ-UT-NERCV , 13 ,36 ,168
280 , T1808B , DGJ-CT-NERCV , 14 ,37 ,169
281 , T1808B , DGJ-UT-NERCV , 14 ,37 ,170
282 , T1808C , DGJ-CT-NERCV , 15 ,38 ,171
283 , T1808C , DGJ-UT-NERCV , 15 ,38 ,172
284 , T1809A , DGJ-CT-NERCV , 16 ,9 ,117
285 , T1809A , DGJ-UT-NERCV , 16 ,9 ,118
286 , T1810A , DGJ-CT-NERCV , 17 ,39 ,173
287 , T1810A , DGJ-UT-NERCV , 17 ,39 ,174
288 , T1811A , DGJ-CT-NERCV , 18 ,16 ,129
289 , T1811A , DGJ-UT-NERCV , 18 ,16 ,130
290 , T1812A , DGJ-CT-NERCV , 19 ,44 ,181
291 , T1812A , DGJ-UT-NERCV , 19 ,44 ,182
292 , T1813A , DGJ-CT-NERCV , 20 ,10 ,119
293 , T1813A , DGJ-UT-NERCV , 20 ,10 ,120
294 , T1813B , DGJ-CT-NERCV , 21 ,11 ,121
295 , T1813B , DGJ-UT-NERCV , 21 ,11 ,122
296 , T1813C , DGJ-CT-NERCV , 22 ,14 ,127
297 , T1813C , DGJ-UT-NERCV , 22 ,14 ,128
298 , T1814A , DGJ-CT-NERCV , 23 ,40 ,175
299 , T1814A , DGJ-UT-NERCV , 23 ,40 ,176
300 , T1814B , DGJ-CT-NERCV , 24 ,41 ,177
301 , T1814B , DGJ-UT-NERCV , 24 ,41 ,178
302 , T1814C , DGJ-CT-NERCV , 25 ,13 ,125
303 , T1814C , DGJ-UT-NERCV , 25 ,13 ,126
304 , T1815A , DGJ-CT-NERCV , 26 ,17 ,131
305 , T1815A , DGJ-UT-NERCV , 26 ,17 ,132
306 , T1815B , DGJ-CT-NERCV , 27 ,12 ,123
307 , T1815B , DGJ-UT-NERCV , 27 ,12 ,124
308 , T1816A , DGJ-CT-NERCV , 28 ,45 ,183
309 , T1816A , DGJ-UT-NERCV , 28 ,45 ,184
310 , T1816B , DGJ-CT-NERCV , 29 ,42 ,179
311 , T1816B , DGJ-UT-NERCV , 29 ,42 ,180
312 , T1817A , DGJ-CT-NERCV , 30 ,18 ,133
313 , T1817A , DGJ-UT-NERCV , 30 ,18 ,134
314 , T1818A , DGJ-CT-NERCV , 31 ,46 ,185
315 , T1818A , DGJ-UT-NERCV , 31 ,46 ,186
316 , T1819A , DGJ-CT-NERCV , 32 ,19 ,135
317 , T1819A , DGJ-UT-NERCV , 32 ,19 ,136
318 , T1819B , DGJ-CT-NERCV , 33 ,21 ,139
319 , T1819B , DGJ-UT-NERCV , 33 ,21 ,140
320 , T1820A , DGJ-CT-NERCV , 34 ,47 ,187
321 , T1820A , DGJ-UT-NERCV , 34 ,47 ,188
322 , T1820B , DGJ-CT-NERCV , 35 ,48 ,189
323 , T1820B , DGJ-UT-NERCV , 35 ,48 ,190
324 , T1821A , DGJ-CT-NERCV , 36 ,20 ,137
325 , T1821A , DGJ-UT-NERCV , 36 ,20 ,138
326 , T1823A , DGJ-CT-NERCV , 37 ,22 ,141
327 , T1823A , DGJ-UT-NERCV , 37 ,22 ,142
328 , T1823B , DGJ-CT-NERCV , 38 ,23 ,143
329 , T1823B , DGJ-UT-NERCV , 38 ,23 ,144
330 , T1823C , DGJ-CT-NERCV , 39 ,24 ,145
331 , T1823C , DGJ-UT-NERCV , 39 ,24 ,146
332 , T1901A , DGJ-CT-NERCV , 40 ,25 ,147
333 , T1901A , DGJ-UT-NERCV , 40 ,25 ,148
334 , T1902A , DGJ-CT-NERCV , 41 ,49 ,191
335 , T1902A , DGJ-UT-NERCV , 41 ,49 ,192
336 , T1902B , DGJ-CT-NERCV , 42 ,50 ,193
337 , T1902B , DGJ-UT-NERCV , 42 ,50 ,194
338 , T1902C , DGJ-CT-NERCV , 43 ,51 ,195
339 , T1902C , DGJ-UT-NERCV , 43 ,51 ,196
340 , T1902D , DGJ-CT-NERCV , 44 ,52 ,197
341 , T1902D , DGJ-UT-NERCV , 44 ,52 ,198
342 , T1903A , DGJ-CT-NERCV , 45 ,26 ,149
343 , T1903A , DGJ-UT-NERCV , 45 ,26 ,150
344 , T1904A , DGJ-CT-NERCV , 46 ,53 ,199
345 , T1904A , DGJ-UT-NERCV , 46 ,53 ,200
346 , T1905A , DGJ-CT-NERCV , 47 ,27 ,151
347 , T1905A , DGJ-UT-NERCV , 47 ,27 ,152
348 , T1905B , DGJ-CT-NERCV , 48 ,28 ,153
349 , T1905B , DGJ-UT-NERCV , 48 ,28 ,154
350 , T1905C , DGJ-CT-NERCV , 49 ,29 ,155
351 , T1905C , DGJ-UT-NERCV , 49 ,29 ,156
352 , T1906A , DGJ-CT-NERCV , 50 ,54 ,201
353 , T1906A , DGJ-UT-NERCV , 50 ,54 ,202
354 , PSD1801 , PDKJ , 0 ,1 ,38
355 , PSD1802 , PDKJ , 1 ,2 ,39
356 , PSD1901 , PDKJ , 2 ,3 ,40
357 , PSD1902 , PDKJ , 3 ,4 ,41
358 , ESB1801/3-ESBJ , ESB , 16 ,1 ,42
359 , ESB1802/4-ESBJ , ESB , 17 ,2 ,43
360 , ESB1901/3-ESBJ , ESB , 18 ,3 ,44
361 , ESB1902/4-ESBJ , ESB , 19 ,4 ,45
362 , DRB1801-SDJ , SDJ-NERCV , 10 ,1 ,247
363 , DRB1801-WDJ , WDJ-NERCV , 9 ,1 ,248
364 , DRB1801-DRBJ , ZTZFAJ , 20 ,1 ,272
365 , X1807-X1813 , JBTCBZH , 0 ,4 ,206
366 , X1807-X1813 , JBBL , 0 ,4 ,164
367 , X1807-X1813 , JBTCBZS , 0 ,4 ,165
368 , X1807-S1814 , JBTCBZH , 1 ,6 ,208
369 , X1807-S1814 , JBBL , 1 ,6 ,168
370 , X1807-S1814 , JBTCBZS , 1 ,6 ,169
371 , X1809-X1813 , JBTCBZH , 2 ,8 ,210
372 , X1809-X1813 , JBBL , 2 ,8 ,172
373 , X1809-X1813 , JBTCBZS , 2 ,8 ,173
374 , X1811-X1805 , JBTCBZH , 3 ,10 ,212
375 , X1811-X1805 , JBBL , 3 ,10 ,176
376 , X1811-X1805 , JBTCBZS , 3 ,10 ,177
377 , X1811-X1803 , JBTCBZH , 4 ,11 ,213
378 , X1811-X1803 , JBBL , 4 ,11 ,178
379 , X1811-X1803 , JBTCBZS , 4 ,11 ,179
380 , X1811-X1807 , ZFTCBZH , 5 ,12 ,214
381 , X1811-X1807 , ZFBL , 5 ,12 ,180
382 , X1811-X1807 , ZFTCBZS , 5 ,12 ,181
383 , X1811-S1804 , JBTCBZH , 6 ,13 ,215
384 , X1811-S1804 , JBBL , 6 ,13 ,182
385 , X1811-S1804 , JBTCBZS , 6 ,13 ,183
386 , X1811-S1808 , ZFTCBZH , 7 ,14 ,216
387 , X1811-S1808 , ZFBL , 7 ,14 ,184
388 , X1811-S1808 , ZFTCBZS , 7 ,14 ,185
389 , X1813-X1817 , JBTCBZH , 8 ,15 ,217
390 , X1813-X1817 , JBBL , 8 ,15 ,186
391 , X1813-X1817 , JBTCBZS , 8 ,15 ,187
392 , X1815-X1811 , JBTCBZH , 9 ,17 ,219
393 , X1815-X1811 , JBBL , 9 ,17 ,190
394 , X1815-X1811 , JBTCBZS , 9 ,17 ,191
395 , X1815-S1812 , JBTCBZH , 10 ,19 ,221
396 , X1815-S1812 , JBBL , 10 ,19 ,194
397 , X1815-S1812 , JBTCBZS , 10 ,19 ,195
398 , X1815-S1814 , ZFTCBZH , 11 ,20 ,222
399 , X1815-S1814 , ZFBL , 11 ,20 ,196
400 , X1815-S1814 , ZFTCBZS , 11 ,20 ,197
401 , X1817-X2001F , JBTCBZH , 12 ,21 ,223
402 , X1817-X2001F , JBBL , 12 ,21 ,198
403 , X1817-X2001F , JBTCBZS , 12 ,21 ,199
404 , X1901-X1815 , JBTCBZH , 13 ,22 ,224
405 , X1901-X1815 , JBBL , 13 ,22 ,200
406 , X1901-X1815 , JBTCBZS , 13 ,22 ,201
407 , S1808-X1813 , JBTCBZH , 14 ,31 ,231
408 , S1808-X1813 , JBBL , 14 ,31 ,214
409 , S1808-X1813 , JBTCBZS , 14 ,31 ,215
410 , S1808-S1814 , JBTCBZH , 15 ,29 ,229
411 , S1808-S1814 , JBBL , 15 ,29 ,210
412 , S1808-S1814 , JBTCBZS , 15 ,29 ,211
413 , S1810-S1814 , JBTCBZH , 16 ,33 ,233
414 , S1810-S1814 , JBBL , 16 ,33 ,218
415 , S1810-S1814 , JBTCBZS , 16 ,33 ,219
416 , S1812-S1806 , JBTCBZH , 17 ,35 ,235
417 , S1812-S1806 , JBBL , 17 ,35 ,222
418 , S1812-S1806 , JBTCBZS , 17 ,35 ,223
419 , S1812-S1804 , JBTCBZH , 18 ,36 ,236
420 , S1812-S1804 , JBBL , 18 ,36 ,224
421 , S1812-S1804 , JBTCBZS , 18 ,36 ,225
422 , S1812-X1803 , JBTCBZH , 19 ,38 ,238
423 , S1812-X1803 , JBBL , 19 ,38 ,228
424 , S1812-X1803 , JBTCBZS , 19 ,38 ,229
425 , S1814-S1902 , JBTCBZH , 20 ,40 ,240
426 , S1814-S1902 , JBBL , 20 ,40 ,232
427 , S1814-S1902 , JBTCBZS , 20 ,40 ,233
428 , S1814-X1817 , JBTCBZH , 21 ,41 ,241
429 , S1814-X1817 , JBBL , 21 ,41 ,234
430 , S1814-X1817 , JBTCBZS , 21 ,41 ,235
431 , S1814-X1815 , ZFTCBZH , 22 ,42 ,242
432 , S1814-X1815 , ZFBL , 22 ,42 ,236
433 , S1814-X1815 , ZFTCBZS , 22 ,42 ,237
434 , S1816-S1812 , JBTCBZH , 23 ,43 ,243
435 , S1816-S1812 , JBBL , 23 ,43 ,238
436 , S1816-S1812 , JBTCBZS , 23 ,43 ,239
437 , S1902-S2002F , JBTCBZH , 24 ,45 ,245
438 , S1902-S2002F , JBBL , 24 ,45 ,242
439 , S1902-S2002F , JBTCBZS , 24 ,45 ,243
440 , S1904-S1816 , JBTCBZH , 25 ,59 ,246
441 , S1904-S1816 , JBBL , 25 ,59 ,244
442 , S1904-S1816 , JBTCBZS , 25 ,59 ,245
443 , X1801-X1807 , JBTCBZH , 26 ,1 ,203
444 , X1801-X1807 , JBBL , 26 ,1 ,158
445 , X1801-X1807 , JBTCBZS , 26 ,1 ,159
446 , X1803-XR-XCDF , JBTCBZH , 27 ,3 ,205
447 , X1803-XR-XCDF , JBBL , 27 ,3 ,162
448 , X1803-XR-XCDF , JBTCBZS , 27 ,3 ,163
449 , S1802-S1808 , JBTCBZH , 28 ,26 ,226
450 , S1802-S1808 , JBBL , 28 ,26 ,204
451 , S1802-S1808 , JBTCBZS , 28 ,26 ,205
452 , S1804-XC-XCDF , JBTCBZH , 29 ,28 ,228
453 , S1804-XC-XCDF , JBBL , 29 ,28 ,208
454 , S1804-XC-XCDF , JBTCBZS , 29 ,28 ,209
455 , X1801_OLP , OLSET , 2 ,1 ,246
456 , S1802_OLP , OLSET , 3 ,16 ,259
457 , X1811_OLP , OLSET , 4 ,9 ,253
458 , X1811_OLP , OLSET , 5 ,7 ,251
459 , X1811_OLP , OLSET , 6 ,8 ,252
460 , S1812_OLP , OLSET , 7 ,24 ,266
461 , S1812_OLP , OLSET , 8 ,22 ,264
462 , S1812_OLP , OLSET , 9 ,23 ,265
463 , X1813_OLP , OLSET , 10 ,10 ,254
464 , S1814_OLP , OLSET , 11 ,25 ,267
465 , S1814_OLP , OLSET , 12 ,26 ,268
466 , X1901_OLP , OLSET , 13 ,14 ,258
467 , S1902_OLP , OLSET , 14 ,28 ,270

/**TrackSection Number, 30 **/
序号 , 方向 , 物理区段设备 , 起始名称 , 终止名称
0 , 无方向(default) , T1801ADDR , T1801AADDR , T1801AADDR
1 , 无方向(default) , T1803ADDR , T1803AADDR , T1803AADDR
2 , 无方向(default) , T1805ADDR , T1805AADDR , T1805CADDR
